Packet_Number,Timestamp,Data
139,2026-02-26 22:17:17,[-101.83150183150182|-114.28571428571429|-99.63369963369964|-103.2967032967033|-115.01831501831502]
140,2026-02-26 22:17:17,[-94.50549450549451|-120.14652014652015|-130.4029304029304|-111.35531135531136|-117.94871794871794]
141,2026-02-26 22:17:17,[-103.2967032967033|-102.56410256410257|-126.73992673992674|-140.65934065934067|-130.4029304029304]
142,2026-02-26 22:17:17,[-134.06593406593407|-119.41391941391942|-97.43589743589743|-134.06593406593407|-109.15750915750915]
143,2026-02-26 22:17:17,[-61.53846153846154|-56.41025641025641|-71.06227106227107|-100.36630036630036|-170.6959706959707]
144,2026-02-26 22:17:17,[-168.4981684981685|-148.71794871794873|-123.80952380952381|-154.57875457875457|-167.76556776556777]
145,2026-02-26 22:17:17,[-158.97435897435898|-119.41391941391942|72.52747252747253|627.8388278388278|1499.6336996336997]
146,2026-02-26 22:17:17,[1499.6336996336997|197.06959706959708|-767.032967032967|-733.3333333333334|-436.6300366300366]
147,2026-02-26 22:17:17,[-214.65201465201466|-131.86813186813185|-112.08791208791209|-100.36630036630036|-109.15750915750915]
148,2026-02-26 22:17:18,[-95.97069597069597|-41.75824175824176|-24.175824175824175|-35.8974358974359|-37.362637362637365]
149,2026-02-26 22:17:18,[-19.78021978021978|-18.315018315018314|-21.978021978021978|8.058608058608058|37.362637362637365]
150,2026-02-26 22:17:18,[66.66666666666667|107.6923076923077|145.78754578754578|182.41758241758242|231.5018315018315]
151,2026-02-26 22:17:18,[289.3772893772894|323.8095238095238|385.34798534798534|405.12820512820514|415.38461538461536]
152,2026-02-26 22:17:18,[406.5934065934066|367.032967032967|315.75091575091574|228.57142857142858|113.55311355311355]
153,2026-02-26 22:17:18,[-6.593406593406593|-113.55311355311355|-205.86080586080587|-260.0732600732601|-301.83150183150184]
154,2026-02-26 22:17:18,[-325.27472527472526|-345.05494505494505|-368.4981684981685|-365.56776556776555|-365.56776556776555]
155,2026-02-26 22:17:18,[-358.24175824175825|-349.45054945054943|-346.5201465201465|-345.05494505494505|-334.7985347985348]
156,2026-02-26 22:17:18,[-331.13553113553115|-317.94871794871796|-311.35531135531136|-315.75091575091574|-306.959706959707]
157,2026-02-26 22:17:18,[-307.6923076923077|-306.959706959707|-298.16849816849816|-295.23809523809524|-313.5531135531136]
158,2026-02-26 22:17:18,[-317.94871794871796|-318.68131868131866|-305.4945054945055|-302.56410256410254|-309.8901098901099]
159,2026-02-26 22:17:18,[-314.2857142857143|-296.7032967032967|-283.5164835164835|-284.98168498168496|-284.98168498168496]
160,2026-02-26 22:17:18,[-263.7362637362637|-260.0732600732601|-264.46886446886447|-263.7362637362637|-277.65567765567766]
161,2026-02-26 22:17:18,[-267.3992673992674|-253.4798534798535|-239.56043956043956|-239.56043956043956|-238.0952380952381]
162,2026-02-26 22:17:18,[-227.1062271062271|-221.24542124542126|-208.7912087912088|-207.32600732600733|-197.06959706959708]
163,2026-02-26 22:17:18,[-180.95238095238096|-191.2087912087912|-167.76556776556777|-131.13553113553112|-127.47252747252747]
164,2026-02-26 22:17:18,[-130.4029304029304|-154.57875457875457|-180.95238095238096|-204.3956043956044|-200.0]
165,2026-02-26 22:17:18,[-193.4065934065934|-192.67399267399267|-188.2783882783883|-183.88278388278388|-197.8021978021978]
166,2026-02-26 22:17:18,[-155.3113553113553|107.6923076923077|980.952380952381|1499.6336996336997|1367.032967032967]
167,2026-02-26 22:17:18,[-290.84249084249086|-825.6410256410256|-528.9377289377289|-242.49084249084248|-161.17216117216117]
168,2026-02-26 22:17:18,[-167.03296703296704|-154.57875457875457|-136.26373626373626|-132.6007326007326|-109.15750915750915]
169,2026-02-26 22:17:18,[-94.50549450549451|-76.92307692307692|-60.8058608058608|-53.47985347985348|-38.827838827838825]
170,2026-02-26 22:17:18,[-14.652014652014651|12.454212454212454|28.571428571428573|53.47985347985348|84.98168498168498]
171,2026-02-26 22:17:18,[126.00732600732601|167.76556776556777|216.11721611721612|263.003663003663|309.8901098901099]
172,2026-02-26 22:17:18,[383.1501831501831|430.7692307692308|463.7362637362637|468.13186813186815|462.27106227106225]
173,2026-02-26 22:17:19,[432.967032967033|350.9157509157509|260.0732600732601|139.9267399267399|21.978021978021978]
174,2026-02-26 22:17:19,[-86.44688644688645|-174.35897435897436|-227.83882783882783|-271.06227106227107|-302.56410256410254]
175,2026-02-26 22:17:19,[-321.61172161172163|-333.3333333333333|-343.5897435897436|-334.7985347985348|-328.93772893772893]
176,2026-02-26 22:17:19,[-314.2857142857143|-314.2857142857143|-308.42490842490844|-300.3663003663004|-289.3772893772894]
177,2026-02-26 22:17:19,[-275.45787545787545|-263.7362637362637|-260.0732600732601|-251.28205128205127|-243.2234432234432]
178,2026-02-26 22:17:19,[-248.35164835164835|-241.02564102564102|-230.03663003663004|-239.56043956043956|-236.63003663003664]
179,2026-02-26 22:17:19,[-235.16483516483515|-250.54945054945054|-246.8864468864469|-241.02564102564102|-241.75824175824175]
180,2026-02-26 22:17:19,[-246.8864468864469|-239.56043956043956|-229.3040293040293|-235.16483516483515|-241.02564102564102]
