Packet_Number,Timestamp,Data
381,2026-02-27 04:53:45,[101.83150183150182|-564.8351648351648|-353.84615384615387|-127.47252747252747|-60.8058608058608]
382,2026-02-27 04:53:45,[-31.501831501831504|-56.41025641025641|-30.036630036630036|-41.75824175824176|-54.21245421245421]
383,2026-02-27 04:53:45,[10.989010989010989|3.663003663003663|30.036630036630036|40.29304029304029|40.29304029304029]
384,2026-02-27 04:53:45,[79.85347985347985|50.54945054945055|98.9010989010989|126.73992673992674|127.47252747252747]
385,2026-02-27 04:53:45,[175.0915750915751|178.02197802197801|228.57142857142858|249.8168498168498|261.53846153846155]
386,2026-02-27 04:53:45,[365.56776556776555|396.3369963369963|460.0732600732601|506.959706959707|520.1465201465202]
387,2026-02-27 04:53:45,[567.032967032967|509.8901098901099|520.8791208791209|479.1208791208791|373.6263736263736]
388,2026-02-27 04:53:45,[287.9120879120879|134.06593406593407|25.641025641025642|-120.14652014652015|-238.0952380952381]
389,2026-02-27 04:53:45,[-254.21245421245422|-321.61172161172163|-336.2637362637363|-357.5091575091575|-383.8827838827839]
390,2026-02-27 04:53:45,[-356.7765567765568|-411.72161172161174|-377.2893772893773|-356.7765567765568|-358.97435897435895]
391,2026-02-27 04:53:45,[-325.27472527472526|-346.5201465201465|-320.1465201465202|-336.996336996337|-352.3809523809524]
392,2026-02-27 04:53:45,[-295.23809523809524|-308.42490842490844|-283.5164835164835|-276.1904761904762|-295.23809523809524]
393,2026-02-27 04:53:45,[-263.7362637362637|-310.6227106227106|-282.05128205128204|-273.2600732600733|-290.84249084249086]
394,2026-02-27 04:53:45,[-264.46886446886447|-287.1794871794872|-267.3992673992674|-295.23809523809524|-315.01831501831504]
395,2026-02-27 04:53:45,[-262.27106227106225|-275.45787545787545|-258.6080586080586|-260.0732600732601|-267.3992673992674]
396,2026-02-27 04:53:45,[-238.0952380952381|-290.84249084249086|-243.2234432234432|-230.03663003663004|-243.95604395604394]
397,2026-02-27 04:53:45,[-208.7912087912088|-230.76923076923077|-209.52380952380952|-224.9084249084249|-235.89743589743588]
398,2026-02-27 04:53:45,[-193.4065934065934|-212.45421245421247|-182.41758241758242|-180.95238095238096|-195.6043956043956]
399,2026-02-27 04:53:45,[-161.9047619047619|-229.3040293040293|-182.41758241758242|-164.83516483516485|-173.62637362637363]
400,2026-02-27 04:53:46,[-143.5897435897436|-167.03296703296704|-147.25274725274724|-167.03296703296704|-191.2087912087912]
401,2026-02-27 04:53:46,[-131.13553113553112|-148.71794871794873|-123.07692307692308|-120.14652014652015|-128.2051282051282]
402,2026-02-27 04:53:46,[-103.2967032967033|-144.32234432234432|-113.55311355311355|-113.55311355311355|-122.34432234432235]
403,2026-02-27 04:53:46,[-85.71428571428571|-110.62271062271063|-97.43589743589743|-95.97069597069597|-89.37728937728937]
404,2026-02-27 04:53:46,[-32.967032967032964|-59.34065934065934|-50.54945054945055|-84.98168498168498|-115.01831501831502]
405,2026-02-27 04:53:46,[-85.71428571428571|-129.67032967032966|-95.97069597069597|-87.17948717948718|-94.50549450549451]
406,2026-02-27 04:53:46,[-79.12087912087912|-112.08791208791209|52.747252747252745|456.4102564102564|1388.2783882783883]
407,2026-02-27 04:53:46,[1499.6336996336997|589.010989010989|-347.98534798534797|-500.3663003663004|-249.8168498168498]
408,2026-02-27 04:53:46,[-72.52747252747253|-68.13186813186813|-32.234432234432234|-24.90842490842491|-20.512820512820515]
