Packet_Number,Timestamp,Data
81,2026-01-31 19:26:09,[-4.395604395604396|-65.2014652014652|-115.01831501831502|-169.23076923076923|-197.06959706959708]
82,2026-01-31 19:26:09,[-216.84981684981685|-227.83882783882783|-228.57142857142858|-243.95604395604394|-235.89743589743588]
83,2026-01-31 19:26:09,[-235.89743589743588|-228.57142857142858|-214.65201465201466|-220.51282051282053|-200.0]
84,2026-01-31 19:26:09,[-206.5934065934066|-201.46520146520146|-190.47619047619048|-195.6043956043956|-191.2087912087912]
85,2026-01-31 19:26:09,[-194.13919413919413|-195.6043956043956|-188.2783882783883|-194.87179487179486|-189.74358974358975]
86,2026-01-31 19:26:09,[-201.46520146520146|-203.66300366300365|-200.0|-214.65201465201466|-189.74358974358975]
87,2026-01-31 19:26:09,[-200.0|-197.06959706959708|-192.67399267399267|-197.06959706959708|-191.2087912087912]
88,2026-01-31 19:26:09,[-188.2783882783883|-178.02197802197801|-172.8937728937729|-181.6849816849817|-176.55677655677655]
89,2026-01-31 19:26:09,[-170.6959706959707|-164.83516483516485|-156.7765567765568|-173.62637362637363|-156.04395604395606]
90,2026-01-31 19:26:09,[-156.7765567765568|-153.1135531135531|-147.25274725274724|-147.25274725274724|-142.85714285714286]
91,2026-01-31 19:26:09,[-145.78754578754578|-145.78754578754578|-142.12454212454213|-144.32234432234432|-132.6007326007326]
92,2026-01-31 19:26:09,[-132.6007326007326|-133.33333333333334|-129.67032967032966|-141.3919413919414|-118.68131868131869]
93,2026-01-31 19:26:09,[-126.00732600732601|-131.13553113553112|-120.87912087912088|-120.87912087912088|-115.01831501831502]
94,2026-01-31 19:26:09,[-119.41391941391942|-112.82051282051282|-107.6923076923077|-115.01831501831502|-110.62271062271063]
95,2026-01-31 19:26:09,[-117.94871794871794|-110.62271062271063|-104.02930402930403|-115.01831501831502|-97.43589743589743]
96,2026-01-31 19:26:09,[-107.6923076923077|-110.62271062271063|-93.77289377289377|-76.92307692307692|-65.93406593406593]
97,2026-01-31 19:26:09,[-76.92307692307692|-94.50549450549451|-109.15750915750915|-112.08791208791209|-106.22710622710623]
98,2026-01-31 19:26:09,[-112.08791208791209|-110.62271062271063|-105.49450549450549|-112.08791208791209|-113.55311355311355]
99,2026-01-31 19:26:09,[-102.56410256410257|44.688644688644686|380.95238095238096|635.1648351648352|384.61538461538464]
