Packet_Number,Timestamp,Data
514,2026-02-27 00:10:07,125.27472527472527|-2.197802197802198|-96.7032967032967|-180.95238095238096|-236.63003663003664
515,2026-02-27 00:10:07,-277.65567765567766|-309.15750915750914|-314.2857142857143|-328.93772893772893|-330.4029304029304
516,2026-02-27 00:10:07,-323.8095238095238|-323.0769230769231|-308.42490842490844|-308.42490842490844|-296.7032967032967
517,2026-02-27 00:10:07,-302.56410256410254|-294.5054945054945|-282.05128205128204|-282.05128205128204|-271.79487179487177
518,2026-02-27 00:10:07,-266.6666666666667|-261.53846153846155|-257.87545787545787|-257.87545787545787|-243.95604395604394
519,2026-02-27 00:10:07,-258.6080586080586|-264.46886446886447|-259.34065934065933|-265.9340659340659|-270.3296703296703
520,2026-02-27 00:10:07,-277.65567765567766|-282.05128205128204|-273.2600732600733|-274.72527472527474|-267.3992673992674
521,2026-02-27 00:10:07,-273.2600732600733|-277.65567765567766|-263.7362637362637|-260.0732600732601|-239.56043956043956
522,2026-02-27 00:10:07,-249.8168498168498|-248.35164835164835|-244.6886446886447|-246.8864468864469|-238.82783882783883
523,2026-02-27 00:10:07,-228.57142857142858|-229.3040293040293|-214.65201465201466|-216.11721611721612|-213.91941391941393
524,2026-02-27 00:10:07,-208.7912087912088|-197.06959706959708|-176.55677655677655|-189.74358974358975|-192.67399267399267
525,2026-02-27 00:10:08,-197.06959706959708|-188.2783882783883|-179.48717948717947|-192.67399267399267|-179.48717948717947
526,2026-02-27 00:10:08,-173.62637362637363|-176.55677655677655|-175.0915750915751|-176.55677655677655|-164.83516483516485
527,2026-02-27 00:10:08,-164.83516483516485|-168.4981684981685|-164.83516483516485|-166.3003663003663|-154.57875457875457
528,2026-02-27 00:10:08,-156.7765567765568|-157.50915750915752|-144.32234432234432|-148.71794871794873|-144.32234432234432
529,2026-02-27 00:10:08,-141.3919413919414|-147.25274725274724|-136.996336996337|-142.85714285714286|-130.4029304029304
530,2026-02-27 00:10:08,-123.07692307692308|-121.6117216117216|-120.14652014652015|-90.10989010989012|-52.014652014652015
531,2026-02-27 00:10:08,-60.8058608058608|-84.98168498168498|-102.56410256410257|-136.996336996337|-141.3919413919414
532,2026-02-27 00:10:08,-150.1831501831502|-145.78754578754578|-134.06593406593407|-134.06593406593407|-119.41391941391942
533,2026-02-27 00:10:08,-131.13553113553112|-43.223443223443226|279.1208791208791|1225.6410256410256|1499.6336996336997
534,2026-02-27 00:10:08,1115.7509157509157|-265.2014652014652|-743.5897435897435|-476.9230769230769|-223.44322344322345
535,2026-02-27 00:10:08,-120.14652014652015|-117.94871794871794|-105.49450549450549|-94.50549450549451|-72.52747252747253
536,2026-02-27 00:10:08,-63.73626373626374|-46.88644688644688|-31.501831501831504|-20.512820512820515|10.989010989010989
537,2026-02-27 00:10:08,21.978021978021978|30.036630036630036|49.08424908424909|66.66666666666667|106.95970695970696
538,2026-02-27 00:10:08,113.55311355311355|154.57875457875457|202.93040293040292|244.6886446886447|299.6336996336996
539,2026-02-27 00:10:08,356.7765567765568|428.57142857142856|488.64468864468864|533.3333333333334|576.5567765567765
540,2026-02-27 00:10:08,583.8827838827839|576.5567765567765|534.065934065934|443.2234432234432|355.3113553113553
541,2026-02-27 00:10:08,202.93040293040292|53.47985347985348|-64.46886446886447|-167.76556776556777|-229.3040293040293
542,2026-02-27 00:10:08,-283.5164835164835|-307.6923076923077|-334.7985347985348|-347.98534798534797|-345.05494505494505
543,2026-02-27 00:10:08,-352.3809523809524|-349.45054945054943|-345.05494505494505|-346.5201465201465|-333.3333333333333
544,2026-02-27 00:10:08,-323.0769230769231|-310.6227106227106|-296.7032967032967|-286.4468864468864|-282.7838827838828
545,2026-02-27 00:10:08,-284.98168498168496|-273.2600732600733|-270.3296703296703|-277.65567765567766|-272.5274725274725
546,2026-02-27 00:10:08,-275.45787545787545|-273.992673992674|-267.3992673992674|-277.65567765567766|-277.65567765567766
