Packet_Number,Timestamp,Data
331,2026-01-31 19:26:44,[-54.94505494505494|-49.81684981684982|-36.63003663003663|-40.29304029304029|-31.501831501831504]
332,2026-01-31 19:26:44,[-19.78021978021978|-18.315018315018314|-6.593406593406593|-24.90842490842491|21.245421245421245]
333,2026-01-31 19:26:44,[28.571428571428573|41.75824175824176|53.47985347985348|69.59706959706959|98.9010989010989]
334,2026-01-31 19:26:44,[125.27472527472527|151.64835164835165|170.6959706959707|185.34798534798534|183.88278388278388]
335,2026-01-31 19:26:44,[178.02197802197801|155.3113553113553|125.27472527472527|43.223443223443226|33.6996336996337]
336,2026-01-31 19:26:45,[-21.245421245421245|-79.85347985347985|-114.28571428571429|-156.04395604395606|-173.62637362637363]
337,2026-01-31 19:26:45,[-191.2087912087912|-202.93040293040292|-197.06959706959708|-207.32600732600733|-211.7216117216117]
338,2026-01-31 19:26:45,[-201.46520146520146|-202.93040293040292|-189.01098901098902|-226.37362637362637|-178.75457875457874]
339,2026-01-31 19:26:45,[-164.83516483516485|-169.96336996336996|-164.83516483516485|-166.3003663003663|-157.50915750915752]
340,2026-01-31 19:26:45,[-156.7765567765568|-156.04395604395606|-148.71794871794873|-153.1135531135531|-164.10256410256412]
341,2026-01-31 19:26:45,[-160.43956043956044|-167.76556776556777|-166.3003663003663|-210.25641025641025|-167.03296703296704]
342,2026-01-31 19:26:45,[-164.10256410256412|-169.96336996336996|-158.24175824175825|-164.83516483516485|-158.97435897435898]
343,2026-01-31 19:26:45,[-158.24175824175825|-169.23076923076923|-164.83516483516485|-164.83516483516485|-161.9047619047619]
344,2026-01-31 19:26:45,[-156.04395604395606|-156.7765567765568|-153.84615384615384|-192.67399267399267|-144.32234432234432]
345,2026-01-31 19:26:45,[-136.996336996337|-146.5201465201465|-142.12454212454213|-147.98534798534797|-142.12454212454213]
346,2026-01-31 19:26:45,[-135.53113553113553|-131.86813186813185|-120.87912087912088|-131.13553113553112|-135.53113553113553]
347,2026-01-31 19:26:45,[-126.73992673992674|-123.80952380952381|-120.14652014652015|-148.71794871794873|-94.50549450549451]
348,2026-01-31 19:26:45,[-95.23809523809524|-101.0989010989011|-106.95970695970696|-126.73992673992674|-127.47252747252747]
349,2026-01-31 19:26:45,[-119.41391941391942|-115.01831501831502|-109.15750915750915|-112.82051282051282|-121.6117216117216]
350,2026-01-31 19:26:45,[-121.6117216117216|-65.2014652014652|134.06593406593407|427.1062271062271|389.010989010989]
351,2026-01-31 19:26:45,[69.59706959706959|-305.4945054945055|-343.5897435897436|-172.16117216117217|-96.7032967032967]
352,2026-01-31 19:26:45,[-77.65567765567765|-75.45787545787546|-65.2014652014652|-73.99267399267399|-65.2014652014652]
353,2026-01-31 19:26:45,[-56.41025641025641|-50.54945054945055|-38.827838827838825|-73.99267399267399|-35.8974358974359]
354,2026-01-31 19:26:45,[-24.175824175824175|-21.245421245421245|-5.86080586080586|-2.197802197802198|16.117216117216117]
355,2026-01-31 19:26:45,[37.362637362637365|52.747252747252745|69.59706959706959|88.64468864468864|117.21611721611721]
356,2026-01-31 19:26:45,[132.6007326007326|145.78754578754578|154.57875457875457|107.6923076923077|126.73992673992674]
357,2026-01-31 19:26:45,[110.62271062271063|53.47985347985348|15.384615384615385|-49.08424908424909|-96.7032967032967]
358,2026-01-31 19:26:45,[-125.27472527472527|-158.24175824175825|-170.6959706959707|-189.74358974358975|-195.6043956043956]
359,2026-01-31 19:26:45,[-188.2783882783883|-191.2087912087912|-189.74358974358975|-223.44322344322345|-179.48717948717947]
360,2026-01-31 19:26:45,[-173.62637362637363|-173.62637362637363|-169.23076923076923|-170.6959706959707|-166.3003663003663]
361,2026-01-31 19:26:45,[-158.97435897435898|-158.97435897435898|-154.57875457875457|-150.1831501831502|-153.1135531135531]
362,2026-01-31 19:26:46,[-153.84615384615384|-153.84615384615384|-160.43956043956044|-216.11721611721612|-158.97435897435898]
363,2026-01-31 19:26:46,[-150.1831501831502|-180.95238095238096|-172.8937728937729|-169.23076923076923|-169.96336996336996]
364,2026-01-31 19:26:46,[-166.3003663003663|-172.16117216117217|-153.84615384615384|-156.7765567765568|-158.97435897435898]
365,2026-01-31 19:26:46,[-157.50915750915752|-157.50915750915752|-150.1831501831502|-197.06959706959708|-143.5897435897436]
366,2026-01-31 19:26:46,[-145.78754578754578|-155.3113553113553|-150.1831501831502|-153.1135531135531|-153.1135531135531]
367,2026-01-31 19:26:46,[-147.25274725274724|-157.50915750915752|-164.83516483516485|-166.3003663003663|-147.98534798534797]
368,2026-01-31 19:26:46,[-131.13553113553112|-131.13553113553112|-135.53113553113553|-187.54578754578753|-150.1831501831502]
369,2026-01-31 19:26:46,[-153.1135531135531|-157.50915750915752|-145.78754578754578|-152.38095238095238|-147.25274725274724]
370,2026-01-31 19:26:46,[-158.97435897435898|-154.57875457875457|-38.095238095238095|246.8864468864469|460.8058608058608]
371,2026-01-31 19:26:46,[239.56043956043956|-161.17216117216117|-408.7912087912088|-263.7362637362637|-131.86813186813185]
372,2026-01-31 19:26:46,[-110.62271062271063|-107.6923076923077|-97.43589743589743|-94.50549450549451|-85.71428571428571]
373,2026-01-31 19:26:46,[-78.3882783882784|-71.06227106227107|-61.53846153846154|-61.53846153846154|-53.47985347985348]
374,2026-01-31 19:26:46,[-40.29304029304029|-33.6996336996337|-25.641025641025642|-54.94505494505494|8.058608058608058]
375,2026-01-31 19:26:46,[22.71062271062271|29.304029304029303|53.47985347985348|76.92307692307692|110.62271062271063]
376,2026-01-31 19:26:46,[128.2051282051282|145.78754578754578|153.1135531135531|148.71794871794873|134.06593406593407]
377,2026-01-31 19:26:46,[110.62271062271063|76.92307692307692|41.75824175824176|-55.67765567765568|-71.7948717948718]
378,2026-01-31 19:26:46,[-112.08791208791209|-153.1135531135531|-167.76556776556777|-191.2087912087912|-200.0]
379,2026-01-31 19:26:46,[-206.5934065934066|-207.32600732600733|-202.93040293040292|-206.5934065934066|-202.1978021978022]
380,2026-01-31 19:26:46,[-200.0|-195.6043956043956|-188.2783882783883|-220.51282051282053|-177.28937728937728]
381,2026-01-31 19:26:46,[-173.62637362637363|-176.55677655677655|-170.6959706959707|-178.02197802197801|-170.6959706959707]
382,2026-01-31 19:26:46,[-170.6959706959707|-172.16117216117217|-167.03296703296704|-173.62637362637363|-172.8937728937729]
383,2026-01-31 19:26:46,[-168.4981684981685|-172.16117216117217|-173.62637362637363|-214.65201465201466|-169.23076923076923]
384,2026-01-31 19:26:46,[-172.16117216117217|-170.6959706959707|-160.43956043956044|-167.76556776556777|-167.76556776556777]
385,2026-01-31 19:26:46,[-157.50915750915752|-156.7765567765568|-153.84615384615384|-156.04395604395606|-148.71794871794873]
386,2026-01-31 19:26:47,[-149.45054945054946|-156.04395604395606|-153.1135531135531|-178.02197802197801|-126.73992673992674]
387,2026-01-31 19:26:47,[-133.33333333333334|-135.53113553113553|-129.67032967032966|-125.27472527472527|-126.00732600732601]
388,2026-01-31 19:26:47,[-124.54212454212454|-131.86813186813185|-126.73992673992674|-144.32234432234432|-136.996336996337]
389,2026-01-31 19:26:47,[-129.67032967032966|-119.41391941391942|-104.02930402930403|-136.996336996337|-101.83150183150182]
390,2026-01-31 19:26:47,[-113.55311355311355|-119.41391941391942|-111.35531135531136|-111.35531135531136|-110.62271062271063]
391,2026-01-31 19:26:47,[-110.62271062271063|-113.55311355311355|-123.80952380952381|-75.45787545787546|156.04395604395606]
392,2026-01-31 19:26:47,[510.6227106227106|473.2600732600733|22.71062271062271|-426.3736263736264|-290.84249084249086]
393,2026-01-31 19:26:47,[-110.62271062271063|-90.10989010989012|-76.92307692307692|-71.7948717948718|-63.73626373626374]
394,2026-01-31 19:26:47,[-53.47985347985348|-47.61904761904762|-40.29304029304029|-46.88644688644688|-38.827838827838825]
395,2026-01-31 19:26:47,[-30.76923076923077|-19.78021978021978|-12.454212454212454|-38.095238095238095|20.512820512820515]
396,2026-01-31 19:26:47,[27.106227106227106|32.967032967032964|52.014652014652015|67.3992673992674|90.10989010989012]
